"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2022","2.360","2.350","2.420","2.320","25.81M","0.00%"
"09/26/2022","2.360","2.240","2.450","2.140","45.59M","2.61%"
"09/23/2022","2.300","2.380","2.430","2.180","33.81M","-2.95%"
"09/22/2022","2.370","2.440","2.670","2.340","108.51M","-2.07%"
"09/21/2022","2.420","2.150","2.440","2.150","120.14M","13.62%"
"09/20/2022","2.130","2.080","2.140","2.030","117.25M","5.45%"
"09/19/2022","2.020","1.950","2.150","1.900","267.34M","7.45%"
"09/16/2022","1.880","1.850","1.970","1.790","98.54M","4.44%"
"09/15/2022","1.800","1.650","1.800","1.650","86.10M","14.65%"
"09/14/2022","1.570","1.400","1.570","1.400","9.75B","14.60%"
"09/13/2022","1.370","1.230","1.410","1.230","47.90M","11.38%"
"09/12/2022","1.230","1.240","1.240","1.230","322.53K","-0.81%"
"09/09/2022","1.240","1.240","1.250","1.230","424.60K","0.81%"
"09/08/2022","1.230","1.240","1.240","1.230","1.86M","0.00%"
"09/07/2022","1.230","1.220","1.240","1.220","822.18K","0.82%"
"09/06/2022","1.220","1.240","1.250","1.220","692.01K","-0.81%"
"09/05/2022","1.230","1.240","1.240","1.220","2.00M","-0.81%"
"09/02/2022","1.240","1.240","1.250","1.240","237.61K","0.00%"
"09/01/2022","1.240","1.250","1.260","1.240","2.53M","-1.59%"
"08/31/2022","1.260","1.260","1.270","1.250","747.73K","-0.79%"
"08/30/2022","1.270","1.260","1.270","1.250","1.01M","0.79%"
"08/29/2022","1.260","1.230","1.260","1.230","1.75M","0.80%"
"08/26/2022","1.250","1.240","1.250","1.240","1.95M","0.81%"
"08/25/2022","1.240","1.250","1.250","1.240","3.15M","-0.80%"
"08/24/2022","1.250","1.240","1.250","1.240","144.81K","0.81%"
"08/23/2022","1.240","1.270","1.270","1.240","1.61M","-2.36%"
"08/22/2022","1.270","1.250","1.270","1.250","1.36M","1.60%"
"08/19/2022","1.250","1.260","1.270","1.250","300.73K","-1.57%"
"08/18/2022","1.270","1.260","1.280","1.250","1.94M","1.60%"
"08/17/2022","1.250","1.280","1.280","1.250","1.44M","-2.34%"
"08/16/2022","1.280","1.260","1.280","1.260","692.24K","1.59%"
"08/15/2022","1.260","1.280","1.280","1.260","1.37M","-1.56%"
"08/12/2022","1.280","1.280","1.280","1.280","1.00M","-0.78%"
"08/11/2022","1.290","1.290","1.290","1.280","1.58M","0.00%"
"08/10/2022","1.290","1.300","1.350","1.290","12.16M","2.38%"
"08/09/2022","1.260","1.260","1.270","1.260","358.84K","-0.79%"
"08/08/2022","1.270","1.260","1.280","1.260","1.24M","0.79%"
"08/05/2022","1.260","1.270","1.300","1.260","2.10M","-0.79%"
"08/04/2022","1.270","1.240","1.300","1.240","7.29M","3.25%"
"08/03/2022","1.230","1.230","1.230","1.230","568.77K","0.00%"
"08/02/2022","1.230","1.250","1.250","1.230","1.13M","-1.60%"
"08/01/2022","1.250","1.240","1.250","1.230","707.84K","1.63%"
"07/29/2022","1.230","1.240","1.240","1.230","682.53K","-0.81%"
"07/28/2022","1.240","1.230","1.240","1.220","720.81K","0.81%"
"07/27/2022","1.230","1.230","1.230","1.220","419.25K","0.82%"
"07/26/2022","1.220","1.210","1.230","1.210","801.32K","0.00%"
"07/25/2022","1.220","1.220","1.230","1.210","605.72K","-0.81%"
"07/22/2022","1.230","1.220","1.230","1.210","1.42M","0.00%"
"07/21/2022","1.230","1.210","1.230","1.210","1.10M","1.65%"
"07/20/2022","1.210","1.200","1.220","1.200","1.42M","0.83%"
"07/19/2022","1.200","1.210","1.220","1.200","1.05M","-0.83%"
"07/18/2022","1.210","1.210","1.220","1.210","1.00M","0.00%"
"07/15/2022","1.210","1.200","1.210","1.200","485.95K","0.00%"
"07/14/2022","1.210","1.200","1.210","1.200","1.02M","0.83%"
"07/13/2022","1.200","1.210","1.220","1.200","310.68K","-0.83%"
"07/12/2022","1.210","1.210","1.220","1.200","1.03M","0.00%"
"07/07/2022","1.210","1.200","1.220","1.200","1.14M","0.00%"
"07/06/2022","1.210","1.210","1.210","1.190","6.14M","-0.82%"
"07/05/2022","1.220","1.230","1.240","1.220","2.99M","-0.81%"
